Farmer Name,Farm ID,Farm Size (Perches),Farm Type,Farm Location (Village),Farm Location (District),Crop Type,Brinjal Variety,Planting Start Date,Planting End Date,Expected Harvest (kg),Actual Harvest (kg),Soil Type,Soil pH Level,Seed Type,Seed Variety,Seed Source,Seed Quantity (g),Seed Cost (Rs.),Fertilizer Type,Fertilizer Brand,Total Fertilizer Quantity (kg),Fertilizer N-P-K Ratio,Fertilizer Application Schedule,Fertilizer Application Method,Fertilizer Cost (Rs.),Pesticide Type,Pesticide Name,Total Pesticide Quantity (kg),Pesticide Application Frequency,Pesticide Application Method,Pesticide Cost (Rs.),Water Source,Irrigation Method,Total Water Usage (liters),Irrigation Schedule,Irrigation Cost (Rs.),Total Number of Labor Hours,Total Labor Wages,Market Selling Price (Rs./kg),Total Sales Revenue (Rs.),Profit/Loss (Rs.),Buyer Type,Total Cost (Rs.),Yield per Perch,Cost per kg,ROI,Fertilizer Efficiency,Pesticide Efficiency,Water Efficiency,Labor Efficiency,Seed Efficiency,Final Performance Score,Cluster,Cluster Label,Enhanced Recommendations
Chandana Fernando,6945,577.6,Conventional,Wariyapola,Kurunegala,Brinjal,Other,08/12/2024,06/02/2025,3372.24,3817.95,Loamy,6.49,Hybrid,Variety-6,Unverified,583,2575.01,Organic,Brand-5,92.02,"13,15,9",Monthly,Soil Application,1990.45,Organic,Pesticide-9,51.55,Bi-weekly,Other,1105.91,Canal,Sprinkler,7550626.11,Weekly,1273.93,5,1664.23,274.27,49793.72,34527.27,Retail,8609.53,6.610024238227147,2.2550138163150386,4.010354804501523,41.49043641066685,74.06304415008644,0.0005056468092020906,763.5898472820305,6.548799302660721,53.61,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Use targeted pesticide application to improve efficiency.
Amara Perera,3269,43.9,Organic,Nawagattegama,Puttalam,Brinjal,Other,26/07/2024,05/10/2024,45.19,53.39,Clayey,6.57,Local,Variety-2,Own-grown,8,2430.87,Chemical,Brand-5,45.85,"6,14,6",Monthly,Soil Application,764.3,Chemical,Pesticide-6,22.73,As needed,Drip Irrigation,609.73,Well,Sprinkler,102110.29,Weekly,3107.19,7,1665.54,189.74,42494.17,23923.3,Direct Consumers,8577.630000000001,1.2161731207289295,160.65986139726542,2.7890338007118514,1.164449265769918,2.3488780312856123,0.000522866010854314,7.627141767551176,6.673749165781355,34.11,2,Low Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'Hybrid' for better results.; Consider switching seed variety to 'Variety-10' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer brand to 'Brand-4' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide application frequency to 'Bi-weekly' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Drip' for better results.; Consider switching irrigation schedule to 'Based on moisture levels' for better results.; Consider switching buyer type to 'Retail' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.
Dinesh Kumara,9818,59.7,Conventional,Mihintale,Anuradhapura,Brinjal,Local,14/02/2023,23/05/2023,47.58,44.8,Clayey,6.36,Local,Variety-10,Unverified,6,3504.58,Organic,Brand-2,34.29,"10,10,10",Monthly,Foliar Spray,3121.53,Chemical,Pesticide-3,15.07,Bi-weekly,Drip Irrigation,1070.08,Canal,Drip,122862.89,Based on moisture levels,1576.64,8,1585.3,379.51,38804.9,16849.67,Wholesale,10858.13,0.7504187604690117,242.36897321428572,1.5518021979843675,1.3065033156458643,2.9727934324622804,0.0003646341055434669,5.599999300000087,7.466665422222429,29.43,2,Low Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'Hybrid' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-4' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching buyer type to 'Retail' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.
Bandara Silva,7587,694.4,Conventional,Hingurakgoda,Polonnaruwa,Brinjal,Other,07/09/2024,13/12/2024,4570.88,4517.61,Clayey,5.41,Local,Variety-3,Certified,807,2972.34,Chemical,Brand-9,215.48,"10,10,10",Bi-weekly,Foliar Spray,8493.92,Chemical,Pesticide-5,37.45,Bi-weekly,Spray,891.09,River,Drip,10057176.74,Daily,3768.8,7,1513.62,453.15,116409.7,89688.21,Retail,17639.77,6.505774769585253,3.9046686190264324,5.084431939872232,20.965333112282657,120.63043736634346,0.0004491926627909246,645.3727649467478,5.598029732840112,52.14,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Soil Application' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use certified seeds to enhance germination and crop output.
Eran Wickramasinghe,6558,323.2,Mixed,Kantalai,Trincomalee,Brinjal,Local,01/02/2024,31/05/2024,2158.37,1752.11,Sandy,5.32,Hybrid,Variety-6,Own-grown,374,2346.1,Organic,Brand-1,90.31,"13,15,10",Bi-weekly,Soil Application,7206.08,Chemical,Pesticide-2,13.01,Weekly,Spray,572.96,Canal,Sprinkler,4656673.17,Daily,1819.22,4,2798.22,349.84,100949.83,77812.59,Direct Consumers,14742.579999999998,5.421132425742574,8.414186323918019,5.278084975628418,19.40106279037689,134.67408649699567,0.000376257885412135,438.0273904931523,4.684786083730518,48.34,1,Moderate Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Chandana Fernando,4708,331.2,Conventional,Eravur,Batticaloa,Brinjal,Other,07/02/2024,05/05/2024,2233.3,2354.64,Mixed,5.3,GMO,Variety-9,Certified,335,895.99,Chemical,Brand-1,65.62,"10,10,10",Monthly,Soil Application,2698.27,Organic,Pesticide-5,14.61,As needed,Drip Irrigation,462.41,Well,Sprinkler,5709445.54,Daily,1147.63,3,1828.6,258.55,56984.42,46294.32,Wholesale,7032.9,7.1094202898550725,2.986826011619611,6.5825363647997275,35.88296196459979,161.16631340408534,0.0004124113249707234,784.8797383734204,7.028776098421564,55.91,0,High Performers,Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.
Eran Wickramasinghe,5640,616.0,Mixed,Uhana,Ampara,Brinjal,Hybrid,12/03/2024,05/06/2024,4304.9,3628.71,Mixed,5.28,GMO,Variety-7,Own-grown,566,371.75,Chemical,Brand-9,171.48,"10,10,10",Bi-weekly,Soil Application,2305.6,Chemical,Pesticide-7,23.02,Weekly,Drip Irrigation,534.46,Canal,Sprinkler,10833847.36,Daily,1547.16,7,2595.74,456.57,110718.22,87789.07,Direct Consumers,7354.71,5.890762987012987,2.026811180832858,11.936442089490953,21.161126538598516,157.63292104114157,0.00033494195362188166,518.3870688018474,6.411148398566875,52.61,0,High Performers,Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.
Dinesh Kumara,9135,763.2,Organic,Chavakachcheri,Jaffna,Brinjal,Hybrid,22/09/2024,15/01/2025,4458.16,4658.18,Sandy,5.72,Local,Variety-5,Certified,875,2032.07,Organic,Brand-1,220.23,"10,10,10",Monthly,Foliar Spray,6482.1,Chemical,Pesticide-7,76.51,Bi-weekly,Drip Irrigation,1540.86,Well,Drip,9695090.01,Daily,2680.59,8,2358.57,467.08,111660.14,80055.96,Retail,15094.19,6.103485324947589,3.2403621156760796,5.303759923520242,21.151432497155557,60.883282435194324,0.00048046794771320744,582.2724272159467,5.323634279630133,50.44,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Soil Application' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Use certified seeds to enhance germination and crop output.
Bandara Silva,9611,499.2,Conventional,Paranthan,Kilinochchi,Brinjal,Other,20/07/2023,18/10/2023,3572.79,3285.75,Mixed,6.42,Local,Variety-7,Unverified,524,1500.81,Organic,Brand-2,80.53,"10,15,8",Weekly,Soil Application,4219.24,Chemical,Pesticide-4,21.18,Bi-weekly,Other,339.7,Well,Sprinkler,6639800.96,Daily,2775.31,4,1650.38,128.67,40863.02,25426.44,Retail,10485.439999999999,6.58203125,3.1911861827588828,2.4249282815027318,40.80156412763487,155.13455358193798,0.0004948567012465845,821.4372946406763,6.270515255208941,54.32,0,High Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching buyer type to 'Wholesale' for better results.
Bandara Silva,1840,572.8,Conventional,Oddusuddan,Mullaitivu,Brinjal,Other,03/12/2024,16/02/2025,3545.56,3798.38,Mixed,6.02,Local,Variety-2,Certified,564,1101.42,Chemical,Brand-6,109.33,"5,13,10",Monthly,Foliar Spray,2609.12,Organic,Pesticide-3,67.91,As needed,Other,2174.06,Rainwater Harvesting,Sprinkler,8792251.18,Daily,2531.68,10,2754.23,471.6,219081.78,183123.2,Retail,11170.51,6.6312500000000005,2.940861630484575,16.393450254285614,34.742339387703844,55.932556973456684,0.00043201450029542584,379.83796201620385,6.7347163001157515,55.03,0,High Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Soil Application' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.
Bandara Silva,4720,296.0,Organic,Vavuniya South,Vavuniya,Brinjal,Other,26/12/2024,03/04/2025,1945.01,1958.24,Sandy,6.64,GMO,Variety-6,Own-grown,295,1384.2,Chemical,Brand-7,51.3,"10,10,10",Weekly,Soil Application,3753.68,Organic,Pesticide-8,19.55,As needed,Other,925.0,Rainwater Harvesting,Flood Irrigation,5157339.13,Daily,803.61,3,2654.68,274.7,76451.76,61621.23,Wholesale,9521.17,6.615675675675676,4.862105768445135,6.472022871138736,38.17231894400938,100.16572377668932,0.00037969967664306384,652.7464490845169,6.638101672413215,53.01,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching to drip irrigation for better water utilization.
